A011170,롯데케미칼,KOSPI,"62,800","2,700",4.49%,"60,500","63,400","60,500","16,913","1,044,797,550",N
A399720,가온칩스,KOSDAQ,"42,500","1,200",2.91%,"41,850","43,000","41,800","24,430","1,038,242,200",N
A005290,동진쎄미켐,KOSDAQ,"29,850",100,0.33%,"29,950","30,300","29,850","34,550","1,037,652,525",N
A086710,선진뷰티사이언스,KOSDAQ,"14,570",580,3.83%,"15,100","15,240","14,510","69,456","1,034,101,150",N
A321820,아티스트컴퍼니,KOSDAQ,"11,900",280,2.41%,"11,810","12,090","11,360","86,362","1,012,555,410",N
A091810,티웨이항공,KOSPI,"2,235",80,3.71%,"2,165","2,250","2,165","453,156","1,010,577,050",N
A001040,CJ,KOSPI,"128,000","2,100",1.67%,"127,000","130,300","125,600","7,860","1,007,776,300",N
A189300,인텔리안테크,KOSDAQ,"39,900",750,1.85%,"40,650","41,700","39,900","24,511","995,298,300",N
A171090,선익시스템,KOSDAQ,"40,550","2,450",6.43%,"38,700","40,650","38,400","24,418","969,860,225",N
A192820,코스맥스,KOSPI,"172,200","2,300",1.32%,"174,600","178,400","172,000","5,529","966,186,400",N
A011070,LG이노텍,KOSPI,"137,800",800,0.58%,"138,200","140,400","137,000","6,820","944,756,800",N
A017800,현대엘리베이터,KOSPI,"75,500",500,0.67%,"75,000","76,000","74,100","12,472","940,043,900",N
A112610,씨에스윈드,KOSPI,"38,050",250,0.65%,"38,300","39,300","38,050","24,424","939,941,275",N
A099320,쎄트렉아이,KOSDAQ,"48,600","1,300",2.75%,"47,300","48,700","47,300","19,462","938,013,600",N
A036570,엔씨소프트,KOSPI,"149,200","3,400",2.33%,"145,800","149,200","145,700","6,354","936,616,300",N
A077970,STX엔진,KOSPI,"24,450",300,1.24%,"24,050","24,550","24,000","38,254","931,060,700",N
A035250,강원랜드,KOSPI,"16,340",260,1.62%,"16,100","16,380","16,000","56,659","920,549,125",N
A105840,우진,KOSPI,"7,420",310,4.01%,"7,490","7,490","7,000","128,213","918,449,920",N
A004020,현대제철,KOSPI,"24,300",400,1.62%,"24,650","24,900","24,000","37,672","913,719,950",N
A069620,대웅제약,KOSPI,"135,500","7,400",5.18%,"142,800","142,800","135,100","6,646","910,284,200",N
A004980,성신양회,KOSPI,"8,810",50,0.56%,"8,930","8,990","8,730","100,782","894,382,670",N
A039200,오스코텍,KOSDAQ,"26,350","1,000",3.66%,"27,650","27,650","26,350","33,427","893,540,750",N
A264850,이랜시스,KOSDAQ,"4,615",30,0.65%,"4,560","4,630","4,400","195,693","886,452,780",N
A389650,넥스트바이오메디컬,KOSDAQ,"39,550","2,000",4.81%,"41,500","41,500","37,350","22,082","876,733,350",N
A071050,한국금융지주,KOSPI,"84,300","1,400",1.69%,"82,900","84,800","82,500","10,364","869,356,950",N
A004370,농심,KOSPI,"408,500","3,500",0.86%,"405,000","415,000","403,500","2,109","864,762,500",N
A001380,SG글로벌,KOSPI,"1,858",83,4.28%,"1,921","1,921","1,846","458,095","861,177,686",N
A031980,피에스케이홀딩스,KOSDAQ,"36,500",800,2.24%,"35,600","36,700","35,550","23,749","858,599,050",N
A100840,SNT에너지,KOSPI,"38,350",450,1.19%,"39,200","39,200","36,700","22,680","855,118,850",N
A078600,대주전자재료,KOSDAQ,"81,200","1,300",1.58%,"84,000","84,700","80,800","10,452","853,960,000",N
A082640,동양생명,KOSPI,"5,540",430,7.20%,"6,090","6,140","5,420","146,556","826,944,230",N
A092790,넥스틸,KOSPI,"12,460",320,2.50%,"12,780","13,090","12,440","64,838","817,074,730",N
A059090,미코,KOSDAQ,"10,800",700,6.93%,"10,120","10,800","10,120","77,651","814,312,045",N
A033780,KT&G,KOSPI,"116,400",400,0.34%,"115,900","117,900","115,000","6,982","813,060,500",N
A195870,해성디에스,KOSPI,"21,000","1,200",5.41%,"22,400","22,400","20,950","37,822","806,888,500",N
A403870,HPSP,KOSDAQ,"22,650",200,0.89%,"22,450","23,250","22,400","35,531","804,292,450",N
